wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
GRGRAZ03;1600;Straßgang;ÖVP;Österreichische Volkspartei;1;5955;77;5878;2065;23
GRGRAZ03;1600;Straßgang;SPÖ;Sozialdemokratische Partei Österreichs;2;5955;77;5878;1923;23
GRGRAZ03;1600;Straßgang;FPÖ;Freiheitliche Partei Österreichs;3;5955;77;5878;426;23
GRGRAZ03;1600;Straßgang;GRÜNE;Die Grünen - Die Grüne Alternative;4;5955;77;5878;308;23
GRGRAZ03;1600;Straßgang;KPÖ;Kommunistische Partei Österreichs;5;5955;77;5878;1087;23
GRGRAZ03;1600;Straßgang;GVP;Grazer Verkehrspartei;6;5955;77;5878;10;23
GRGRAZ03;1600;Straßgang;RWA;Reif für die Wirtschaft und Arbeit;7;5955;77;5878;40;23
GRGRAZ03;1600;Straßgang;LIF;Liberales Forum;8;5955;77;5878;19;23
GRGRAZ03;1700;Puntigam;ÖVP;Österreichische Volkspartei;1;2833;48;2785;997;10
GRGRAZ03;1700;Puntigam;SPÖ;Sozialdemokratische Partei Österreichs;2;2833;48;2785;935;10
GRGRAZ03;1700;Puntigam;FPÖ;Freiheitliche Partei Österreichs;3;2833;48;2785;226;10
GRGRAZ03;1700;Puntigam;GRÜNE;Die Grünen - Die Grüne Alternative;4;2833;48;2785;128;10
GRGRAZ03;1700;Puntigam;KPÖ;Kommunistische Partei Österreichs;5;2833;48;2785;476;10
GRGRAZ03;1700;Puntigam;GVP;Grazer Verkehrspartei;6;2833;48;2785;9;10
GRGRAZ03;1700;Puntigam;RWA;Reif für die Wirtschaft und Arbeit;7;2833;48;2785;10;10
GRGRAZ03;1700;Puntigam;LIF;Liberales Forum;8;2833;48;2785;4;10
