"";"numParish";"numDistrict";"authAll";"authMen";"authWomen";"authMenRel";"authWomenRel"
"251";1602;16;768;390;378;50,78125;49,21875
"252";1603;16;893;438;455;49,0481522956327;50,9518477043673
"253";1604;16;720;348;372;48,3333333333333;51,6666666666667
"254";1605;16;703;347;356;49,3598862019915;50,6401137980085
"255";1606;16;696;326;370;46,8390804597701;53,1609195402299
"256";1607;16;670;304;366;45,3731343283582;54,6268656716418
"257";1608;16;600;268;332;44,6666666666667;55,3333333333333
"258";1609;16;946;453;493;47,8858350951374;52,1141649048626
"259";1610;16;920;428;492;46,5217391304348;53,4782608695652
"260";1611;16;994;488;506;49,0945674044266;50,9054325955734
"261";1612;16;846;377;469;44,5626477541371;55,4373522458629
"262";1613;16;782;359;423;45,9079283887468;54,0920716112532
"263";1614;16;893;449;444;50,2799552071669;49,7200447928331
"264";1701;17;785;389;396;49,5541401273885;50,4458598726115
"265";1702;17;810;408;402;50,3703703703704;49,6296296296296
"266";1703;17;711;326;385;45,8509142053446;54,1490857946554
"267";1704;17;1004;486;518;48,406374501992;51,593625498008
"268";1705;17;719;392;327;54,5201668984701;45,4798331015299
"269";1706;17;770;376;394;48,8311688311688;51,1688311688312
"270";1707;17;785;371;414;47,2611464968153;52,7388535031847
